date,plastic_price
2025-05-06,7255
2025-05-07,7270
2025-05-08,7282
2025-05-09,7246
2025-05-12,7252
2025-05-13,7321
2025-05-14,7430
2025-05-15,7500
2025-05-16,7507
2025-05-19,7380
2025-05-20,7312
2025-05-21,7302
2025-05-22,7263
2025-05-23,7153
2025-05-26,7107
2025-05-27,7051
2025-05-28,7000
2025-05-29,6996
2025-05-30,6978
2025-06-03,6963
2025-06-04,7012
2025-06-05,7021
2025-06-06,7069
2025-06-09,7070
2025-06-10,7096
2025-06-11,7080
2025-06-12,7137
2025-06-13,7137
2025-06-16,7087
2025-06-17,7289
2025-06-18,7389
2025-06-19,7450
2025-06-20,7466
2025-06-23,7455
2025-06-24,7306
2025-06-25,7254
2025-06-26,7296
2025-06-27,7321
2025-06-30,7297
2025-07-01,7252
2025-07-02,7270
2025-07-03,7295
2025-07-04,7313
2025-07-07,7257
2025-07-08,7256
2025-07-09,7255
2025-07-10,7302
2025-07-11,7288
2025-07-14,7267
2025-07-15,7243
2025-07-16,7215
2025-07-17,7209
2025-07-18,7225
2025-07-21,7276
2025-07-22,7306
2025-07-23,7320
2025-07-24,7339
2025-07-25,7439
2025-07-28,7367
2025-07-29,7369
2025-07-30,7402
2025-07-31,7369
2025-08-01,7336
2025-08-04,7276
2025-08-05,7288
2025-08-06,7318
2025-08-07,7302
2025-08-08,7294
2025-08-11,7302
2025-08-12,7328
2025-08-13,7320
2025-08-14,7300
2025-08-15,7295
2025-08-18,7292
2025-08-19,7284
2025-08-20,7265
2025-08-21,7330
2025-08-22,7332
2025-08-25,7352
2025-08-26,7373
2025-08-27,7338
2025-08-28,7303
2025-08-29,7291
2025-09-01,7243
2025-09-02,7251
2025-09-03,7245
2025-09-04,7211
2025-09-05,7214
2025-09-08,7211
2025-09-09,7203
2025-09-10,7205
2025-09-11,7194
2025-09-12,7157
2025-09-15,7170
2025-09-16,7209
2025-09-17,7195
2025-09-18,7159
2025-09-19,7128
2025-09-22,7107
2025-09-23,7073
2025-09-24,7109
2025-09-25,7123
2025-09-26,7103
2025-09-29,7114
2025-09-30,7100
2025-10-09,7039
2025-10-10,7032
2025-10-13,6989
2025-10-14,6922
2025-10-15,6895
2025-10-16,6889
2025-10-17,6868
2025-10-20,6890
2025-10-21,6865
2025-10-22,6908
2025-10-23,6952
2025-10-24,6955
2025-10-27,6966
2025-10-28,6973
2025-10-29,6953
2025-10-30,6961
2025-10-31,6914
2025-11-03,6874
2025-11-04,6848
2025-11-05,6798
2025-11-06,6748
2025-11-07,6776
2025-11-10,6759
2025-11-11,6774
2025-11-12,6769
2025-11-13,6774
2025-11-14,6860
2025-11-17,6850
2025-11-18,6818
2025-11-19,6813
2025-11-20,6814
2025-11-21,6805
2025-11-24,6781
2025-11-25,6796
2025-11-26,6740
2025-11-27,6715
2025-11-28,6746
2025-12-01,6799
2025-12-02,6821
2025-12-03,6812
2025-12-04,6783
2025-12-05,6711
2025-12-08,6648
2025-12-09,6595
2025-12-10,6556
2025-12-11,6579
2025-12-12,6506
2025-12-15,6540
2025-12-16,6515
2025-12-17,6474
2025-12-18,6467
2025-12-19,6348
2025-12-22,6242
2025-12-23,6242
2025-12-24,6297
2025-12-25,6317
2025-12-26,6294
2025-12-29,6329
2025-12-30,6300
2025-12-31,6300
2026-01-05,6314
2026-01-06,6355
2026-01-07,6455
2026-01-08,6487
2026-01-09,6474
2026-01-12,6507
2026-01-13,6573
2026-01-14,6669
2026-01-15,6703
2026-01-16,6622
2026-01-19,6588
2026-01-20,6521
2026-01-21,6528
2026-01-22,6615
2026-01-23,6732
2026-01-26,6789
2026-01-27,6739
2026-01-28,6831
2026-01-29,6884
2026-01-30,6898
2026-02-02,6794
2026-02-03,6735
2026-02-04,6902
2026-02-05,6823
2026-02-06,6763
2026-02-09,6759
2026-02-10,6750
2026-02-11,6783
2026-02-12,6786
2026-02-13,6681
2026-02-24,6786
2026-02-25,6801
2026-02-26,6737
2026-02-27,6596
2026-03-02,6793
2026-03-03,7093
2026-03-04,7337
2026-03-05,7404
2026-03-06,7495
2026-03-09,7915
2026-03-10,7980
2026-03-11,7906
2026-03-12,8405
2026-03-13,8430
2026-03-16,8632
2026-03-17,8497
2026-03-18,8533
2026-03-19,8902
2026-03-20,8737
2026-03-23,9248
2026-03-24,9098
2026-03-25,8679
2026-03-26,8719
2026-03-27,8801
2026-03-30,9018
2026-03-31,8693
2026-04-01,8559
2026-04-02,8582
2026-04-03,8640
2026-04-07,9225
2026-04-08,8824
2026-04-09,8512
2026-04-10,8479
2026-04-13,8380
2026-04-14,8312
2026-04-15,8054
2026-04-16,8046
2026-04-17,8131
2026-04-20,7968
2026-04-21,7944
2026-04-22,8048
2026-04-23,8112
2026-04-24,8144
2026-04-27,8183
2026-04-28,8283
2026-04-29,8410
2026-04-30,8441
