date,plastic_price,satuan,sumber,metode
2025-05-06,7255,CNY/T,TradingEconomics,highcharts
2025-05-07,7270,CNY/T,TradingEconomics,highcharts
2025-05-08,7282,CNY/T,TradingEconomics,highcharts
2025-05-09,7246,CNY/T,TradingEconomics,highcharts
2025-05-12,7252,CNY/T,TradingEconomics,highcharts
2025-05-13,7321,CNY/T,TradingEconomics,highcharts
2025-05-14,7430,CNY/T,TradingEconomics,highcharts
2025-05-15,7500,CNY/T,TradingEconomics,highcharts
2025-05-16,7507,CNY/T,TradingEconomics,highcharts
2025-05-19,7380,CNY/T,TradingEconomics,highcharts
2025-05-20,7312,CNY/T,TradingEconomics,highcharts
2025-05-21,7302,CNY/T,TradingEconomics,highcharts
2025-05-22,7263,CNY/T,TradingEconomics,highcharts
2025-05-23,7153,CNY/T,TradingEconomics,highcharts
2025-05-26,7107,CNY/T,TradingEconomics,highcharts
2025-05-27,7051,CNY/T,TradingEconomics,highcharts
2025-05-28,7000,CNY/T,TradingEconomics,highcharts
2025-05-29,6996,CNY/T,TradingEconomics,highcharts
2025-05-30,6978,CNY/T,TradingEconomics,highcharts
2025-06-03,6963,CNY/T,TradingEconomics,highcharts
2025-06-04,7012,CNY/T,TradingEconomics,highcharts
2025-06-05,7021,CNY/T,TradingEconomics,highcharts
2025-06-06,7069,CNY/T,TradingEconomics,highcharts
2025-06-09,7070,CNY/T,TradingEconomics,highcharts
2025-06-10,7096,CNY/T,TradingEconomics,highcharts
2025-06-11,7080,CNY/T,TradingEconomics,highcharts
2025-06-12,7137,CNY/T,TradingEconomics,highcharts
2025-06-13,7137,CNY/T,TradingEconomics,highcharts
2025-06-16,7087,CNY/T,TradingEconomics,highcharts
2025-06-17,7289,CNY/T,TradingEconomics,highcharts
2025-06-18,7389,CNY/T,TradingEconomics,highcharts
2025-06-19,7450,CNY/T,TradingEconomics,highcharts
2025-06-20,7466,CNY/T,TradingEconomics,highcharts
2025-06-23,7455,CNY/T,TradingEconomics,highcharts
2025-06-24,7306,CNY/T,TradingEconomics,highcharts
2025-06-25,7254,CNY/T,TradingEconomics,highcharts
2025-06-26,7296,CNY/T,TradingEconomics,highcharts
2025-06-27,7321,CNY/T,TradingEconomics,highcharts
2025-06-30,7297,CNY/T,TradingEconomics,highcharts
2025-07-01,7252,CNY/T,TradingEconomics,highcharts
2025-07-02,7270,CNY/T,TradingEconomics,highcharts
2025-07-03,7295,CNY/T,TradingEconomics,highcharts
2025-07-04,7313,CNY/T,TradingEconomics,highcharts
2025-07-07,7257,CNY/T,TradingEconomics,highcharts
2025-07-08,7256,CNY/T,TradingEconomics,highcharts
2025-07-09,7255,CNY/T,TradingEconomics,highcharts
2025-07-10,7302,CNY/T,TradingEconomics,highcharts
2025-07-11,7288,CNY/T,TradingEconomics,highcharts
2025-07-14,7267,CNY/T,TradingEconomics,highcharts
2025-07-15,7243,CNY/T,TradingEconomics,highcharts
2025-07-16,7215,CNY/T,TradingEconomics,highcharts
2025-07-17,7209,CNY/T,TradingEconomics,highcharts
2025-07-18,7225,CNY/T,TradingEconomics,highcharts
2025-07-21,7276,CNY/T,TradingEconomics,highcharts
2025-07-22,7306,CNY/T,TradingEconomics,highcharts
2025-07-23,7320,CNY/T,TradingEconomics,highcharts
2025-07-24,7339,CNY/T,TradingEconomics,highcharts
2025-07-25,7439,CNY/T,TradingEconomics,highcharts
2025-07-28,7367,CNY/T,TradingEconomics,highcharts
2025-07-29,7369,CNY/T,TradingEconomics,highcharts
2025-07-30,7402,CNY/T,TradingEconomics,highcharts
2025-07-31,7369,CNY/T,TradingEconomics,highcharts
2025-08-01,7336,CNY/T,TradingEconomics,highcharts
2025-08-04,7276,CNY/T,TradingEconomics,highcharts
2025-08-05,7288,CNY/T,TradingEconomics,highcharts
2025-08-06,7318,CNY/T,TradingEconomics,highcharts
2025-08-07,7302,CNY/T,TradingEconomics,highcharts
2025-08-08,7294,CNY/T,TradingEconomics,highcharts
2025-08-11,7302,CNY/T,TradingEconomics,highcharts
2025-08-12,7328,CNY/T,TradingEconomics,highcharts
2025-08-13,7320,CNY/T,TradingEconomics,highcharts
2025-08-14,7300,CNY/T,TradingEconomics,highcharts
2025-08-15,7295,CNY/T,TradingEconomics,highcharts
